icao,name
GOJ,EuroJet Aviation
GOL,Cardolaar
GOM,Gomel Airlines
GOR,Gorlitsa Airlines
GOS,Goldfields Air Services
GOT,Walter I Linkoping
GOW,Go Air
GPA,Golden Pacific Airlines
GPC,Gulf Pearl Air Lines
GPD,Tradewind Aviation
GPE,GP Express Airlines
GPL,DLR
GPM,Grup Air-Med
GPR,GPM Aeroservicio
GRA,Great American Airways
GRD,National Grid
GRE,Air Scotland
GRG,Air Georgia
GRI,Air Cargo Center
GRL,Air Greenland
GRN,Rio Grande Air
GRO,Allegro
GRP,Great Plains Airlines
GRR,Agroar - Trabalhos Aereos
GRS,Golden Rule Airlines
GRT,Gabon-Air-Transport
GRV,Vernicos Aviation
GRX,Aircompany Grodno
GRY,New York State Police
GRZ,Government of Zambia Communications Flight
GSA,Garden State Airlines
GSJ,Grossmann Jet Service
GSK,Global Sky Aircharter
GSL,Geographic Air Surveys
GSM,Flyglobespan
GSP,Airlift Alaska
GSS,Global Supply Systems
GSV,Agrocentr-Avia
GSW,Sky Wings Airlines
GSY,Guard Systems
GTA,City Airways
GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret
GTH,General Aviation Flying Services
GTI,Atlas Air
GTP,Aerotaxi Grupo Tampico
GTR,Gestar
GTV,Empresa de Aviacion Aerogaviota
GTX,GTA Air
GTY,National Aviation Company
GUA,Aerotaxis de Aguascalientes
GUF,Gulf African Airlines - Gambia
GUG,Aviateca
GUI,Aguilar Connect
GUJ,Gujarat Airways
GUL,Gull Air
GUM,Gum Air
GUN,Grant Aviation
GUS,Guja
GUY,Air Guyane
GVG,Flygaktiebolaget Gota Vingar
GVI,Air Victoria Georgia
GVN,Gavina
GWA,Great Western Air
GWI,Germanwings
GWL,Great Wall Airlines
GWN,Gwyn Aviation
GWS,General Airways
GWY,USA3000 Airlines
GXA,Grixona
GXG,GermanXL
GXL,Star XL German Airlines
GXY,Galaxy Airlines
GYP,Eagle Aviation
GZA,Excellent Air
GZD,Grizodubova Air Company
GZP,Gazpromavia
HAA,Helicopteros Agroforestal
HAC,Henebury Aviation
HAD,Air D'Ayiti
HAF,Hellenic Air Force
HAG,Hageland Aviation Services
HAH,Air Comores International
HAI,Century Aviation International
HAJ,Hajvairy Airlines
HAK,Pegasus Helicopters
HAL,Hawaiian Airlines
HAM,Haiti Ambassador Airlines
HAN,Hansung Airlines
HAP,Helicopteros Aero Personal
HAR,Harbor Airlines
HAS,Honduras Airlines
HAT,Air Taxi
HAU,Skyhaul
HAV,Havilah Air Services
HAW,Bangkok Aviation Center
HAX,Benair
HAY,Hamburg Airways
HBA,Trail Lake Flying Service
HBC,Haitian Aviation Line
HBH,Hebei Airlines
HBI,CHC Denmark
HBL,Faroecopter
HBR,Hebradran Air Services
HBT,Polizeihubschrauberstaffel Thuringen
HBU,Universal Avia
HCA,Lake Havasu Air Service
HCB,Helenair (Barbados)
HCC,Holidays Czech Airlines
HCL,Helenair Corporation
HCN,Halcyon Air/Bissau Airways
HCP,Helicopter
HCW,Star1 Airlines
HCY,Helios Airways
HDA,Dragonair
HDC,Helcopteros De Cataluna
HDI,Hoteles Dinamicos
HDR,Helikopterdrift
HEA,Heliavia-Transporte Aereo
HEB,Heli Bernina
HEC,Heliservicio Campeche
HED,Herritage Aviation Developments
HEI,Aerohein
HEJ,Hellas Jet
HEL,Helicol
HEM,CHC Helicopters
HEN,Helicopteros Y Vehiculos Nacionales Aereos
HER,Hex'Air
HET,TAF Helicopters
HEX,Honiara Cargo Express
HEY,Hellenic Airways
HFR,Heli France
HFY,Hi Fly
HGA,Hogan Air
HGD,Hangard Aviation
HGH,Atlantic Air Lift
HGK,Fika Salaama Airlines
HGR,Hangar 8
HHA,Atlantic Airlines de Honduras
HHE,Heli-Holland
HHH,Helicsa
HHI,Hamburg International
HHN,Hahn Air
HHO,Houston Helicopters
HHP,Helenia Helicopter Service
HHS,Hi-Jet Helicopter Services
HIA,Canadian Eagle Aviation
HIB,Helibravo Aviacao
HID,Aviacion Ejecutiva De Hildago
HIF,Heli-Iberica Fotogrametria
HIG,Heli-Inter Guyane
HIN,Holding International Group
HIP,Starship
HIS,Hispaniola Airways
HIT,Helitalia
HJA,Air Haiti
HJE,Servicios Ejecutivos Gosa
HJL,Hamlin Jet
HJT,Al Rais Cargo
HKA,Superior Aviation
HKE,Hong Kong Express Airways
HKG,Government Flying Service
HKH,Air-Invest
HKI,Hawkaire
HKL,Hak Air
HKN,Jim Hankins Air Service
HKR,Hawk Air
HKS,CHC Helikopter Service
HLA,HC Airlines
HLB,High-Line Airways
HLC,Helicap
HLD,Grampian Flight Centre
HLE,UK HEMS
HLF,Hapagfly
HLG,Helog
HLH,Hala Air
HLI,Heli Securite
HLK,Heli-Link
HLM,Heli Medwest De Mexico
HLO,Samaritan Air Service
HLP,Helipistas
HLR,Heli Air Services
HLS,Haiti Air Freight
HLT,Helitafe
HLU,Heli Union Heli Prestations
HLW,Heliworks
HLX,TUIfly
HMA,Air Tahoma
HMC,Heliamerica De Mexico
HMD,Charlie Hammonds Flying Service
HMF,Norrlandsflyg
HMM,Hamra Air
HMP,Papair Terminal
HMR,North American Charters
HMS,Hemus Air
HMT,Air Nova
HMV,Homac Aviation
HMX,Hawk De Mexico
HMY,Harmony Airways
HNA,Greek Navy
HNR,Haiti National Airlines (HANA)
HNT,Helicopteros Internacionales
HNX,Hankook Airline
HOA,Hola Airlines
HOL,Holiday Airlines
HOM,Aero Homex
HOR,Horizon Air-Taxi
HOZ,Horizontes Aereos
HPA,Pearl Airways
HPJ,Hop-A-Jet
HPL,Heliportugal
HPO,Almiron Aviation
HPR,Rick Lucas Helicopters
HPS,Horizon Plus
HPY,Happy Air
HQO,Avinor
HRA,Heli-Iberica
HRB,Haiti International Airline
HRH,Royal Tongan Airlines
HRI,Skyraidybos Mokymo Centras
HRM,Hermes Airlines
HRT,Chartright Air
HRZ,Croatian Air Force
HSA,East African Safari Air
HSE,Compania Helicopteros Del Sureste
HSI,Heliswiss
HSK,Sky Europe Airlines
HSM,Horizon Air for Transport and Training
HSO,Campania Helicopteros De Transporte
HSP,International Jet Charter
HSR,Citylink Airlines
HSS,Compania Transportes Aereos Del Sur
HST,Hellenic Star Airways
HSU,Helisul
HSV,Svenska Direktflyg
HSY,Sky Helicopteros
HTA,Helitrans
HTC,Haiti Trans Air
HTE,Midwest Helicopters De Mexico
HTG,Grossmann Air Service
HTH,Helitt Líneas Aéreas
HTI,Haiti International Air
HTL,Jet Link Aviation
HTN,Haiti North Airline
HTO,Tango Bravo
HTP,Heli Trip
HTR,Holstenair Lubeck
HTS,Helitrans Air Service
HTT,Air Tchad
HUB,Hub Airlines
HUC,Aerloineas de Techuacan
HUD,Horizons Unlimited
HUF,Hungarian Air Force
HUR,Miami Air Charter
HUS,Huessler Air Service
HUT,Aerotransportes Huitzilin
HUV,Hunair Hungarian Airlines
HUY,Aero Transportes Del Humaya
HVA,Newair
HVK,Turkish Air Force
HVL,Heavylift International
HVN,Vietnam Airlines
HVY,Heavylift Cargo Airlines
HWD,HPM Investments
HWY,Highland Airways
HXA,China Express Airlines
HYA,Hyack Air
HYC,Hydro Air Flight Operations
HYD,Hydro-Québec
HYH,Heli Hungary
HYM,Himalayan Airlines
HYR,Airlink Airways
HZA,Horizon Airlines
HZL,Hazelton Airlines
HZT,Air Horizon
HZX,Citic General Aviation
IAA,Indonesian Airlines
IAC,Indian Airlines
IAD,Fly Wex
IAE,AC Insat-Aero
IAF,Israeli Air Force
IAG,EPAG Groupe Air France
IAI,Israel Aircraft Industries
IAJ,Islandair Jersey
IAK,International Air Cargo Corporation
IAM,Aeronautica Militare
IAR,Iliamna Air Taxi
IAS,International Air Service
IAW,Iraqi Airways
IAX,International Air Services
IAY,Deadalos Flugtbetriebs
IBB,Binter Canarias
IBC,Ibicenca Air
IBE,Iberia Airlines
IBK,Norwegian Air International (D8)
IBL,IBL Aviation
IBR,Ibertour Servicios Aereos
IBS,Iberia Express
IBT,Ibertrans Aerea
IBU,Indigo
IBX,Ibex Airlines
IBY,International Business Aircraft
IBZ,International Business Air
ICA,Icaro
ICB,Icebird Airline
ICC,Instituto Cartografico de Cataluna
ICD,Icaro
ICE,Icelandair
ICG,Icelandic Coast Guard
ICJ,Icejet
ICL,CAL Cargo Air Lines
ICM,Air Inter Cameroun
ICN,Inter-Canadian
ICP,Intercopters
ICR,Eagle Aero
ICS,International Charter Services
ICT,Intercontinental de Aviaci
ICX,International Charter Xpress
IDA,Indonesia Air Transport
IDE,Independence Air
IDG,IDG Technology Air
IDL,Ildefonso Redriguez
IDP,Independent Air Freighters
IDR,Indicator Company
IDS,Indonesia Sky
IDX,Indonesa Air Aisa X
IEA,Inter European Airways
IEP,Elipiu'
IFA,FAI Airservice
IFC,Indian Air Force
IFF,Interfreight Forwarding
IFI,Air Lift
IFL,IFL Group
IFS,Italy First
IFT,Interflight
IFX,International Flight Training Academy
IGA,Skytaxi
IGN,Interguide Air
IGO,IndiGo Airlines
IGS,Isle Grande Flying School
IHE,Interjet Helicopters
IHS,Thryluthjonustan
IIA,AIR INDOCHINE
IIG,International Company for Transport
IIL,India International Airways
IIN,Inter Islands Airlines
IIR,INAVIA Internacional
IJA,International Jet Aviation Services
IJE,Ivoire Jet Express
IJM,IJM International Jet Management
IJS,Silvair
IJT,InteliJet Airways
IKA,Itek Air
IKK,IKI International Airlines
IKM,Aero Survey
IKN,IKON FTO
IKR,Ikaros DK
IKY,Intersky
ILC,Island Link
ILF,Island Air Charters
ILK,Aero Airline
ILL,Ilyich-Avia
ILN,Interair South Africa
ILP,Ilpo Aruba Cargo
ILS,Servicios Aereos Ilsa
ILV,Il-Avia
ILW,Illinois Airways
ILY,Fly Illi
IMA,Inter-Mountain Airways
IME,Airtime Charters
IMN,Aerotaxis Cimarron
IMP,Hellenic Imperial Airways
IMR,Imaer
IMT,Imtrec Aviation
IMX,Zimex Aviation
INA,Aero International
INC,Insel Air International
IND,Iona National Airways
INE,International Europe
ING,Aeroingenieria
INK,Sincom-Avia
INL,Intal Avia
INO,Aeroservicios Intergrados de Norte
INP,Peruvian Navy
INS,Inflite The Jet Centre
INT,Intair
INU,Flyguppdraget Backamo
INV,Inversija
INX,Inter Express
IOA,Iowa Airways
IOM,Island Aviation and Travel
IOS,Isles of Scilly Skybus
IPA,IPEC Aviation
IPL,Airpull Aviation
IPM,IPM Europe
IPN,Industri Pesawat Terbang Nusantara
IPT,Interport Corporation
IPV,Parmiss Airlines (IPV)
IQQ,Caribbean Airways
IRA,Iran Air
IRB,Iranair Tours
IRC,Iran Aseman Airlines
IRD,Arvand Airlines
IRE,Pariz Air
IRF,TA-Air Airline
IRG,Naft Air Lines
IRH,Atlas Aviation Group
IRI,Navid
IRJ,Bonyad Airlines
IRK,Kish Air
IRL,Irish Air Corps
IRM,Mahan Air
IRO,CSA Air
IRP,Payam Air
IRQ,Qeshm Air
IRR,Tara Air Line
IRT,Irtysh Airlines
IRU,Chabahar Airlines
IRV,Safat Airlines
IRW,Aram Airline
IRX,Aria Tour
IRY,Eram Air
IRZ,Saha Airlines Services
ISD,ISD Avia
ISF,International Sabilisation Assistance Force
ISG,Club Air
ISI,Island Air
ISK,Intersky
ISL,Landsflug
ISM,Auo Airclub AIST-M
ISN,Interisland Airlines
ISR,Israir
ISS,Meridiana
IST,Istanbul Airlines
ISV,Islena De Inversiones
ISW,Islas Airways
ISX,Island Spirit
ITA,Inter-Air
ITC,International Air Carrier Association
ITE,Aerotaxi
ITF,Avita-Servicos Aereos
ITH,International Trans-Air
ITK,Interlink Airlines
ITN,Industrias Titan
ITO,Aero Citro
ITR,Frontier Commuter
ITS,Inter-State Aviation
ITU,Intervuelos
ITW,Inter Air
ITX,Imair Airlines
IUS,Icarus
IVA,Innotech Aviation
IVE,Air Executive
IVJ,Flight International
IVR,Burundaiavia
IVS,Ivoire Aero Services
IVT,Interaviatrans
IVW,Ivoire Airways
IWA,Apache Air
IWD,Iberworld
IWS,Aviainvest
IWY,Interisland Airways Limited
IXO,OCEAN AIR CARGO
IXR,Ixair
IXX,Dolphin Express Airlines
IYE,Yemenia
IZA,Izhavia
IZG,Zagros Airlines
IZM,Izair
JAA,Japan Asia Airways
JAB,Air Bagan
JAC,Japan Air Commuter
JAD,Aerojal
JAE,Jade Cargo International
JAF,Jetairfly
JAG,Jetalliance
JAI,Jet Airways
JAK,Jana-Arka
JAL,Japan Airlines
JAM,Sunline Express
JAR,Airlink
JAS,Japan Air System
JAT,Jat Airways
JAV,Jordan Aviation
JAW,Jamahiriya Airways
JAX,Janair
JAZ,JALways
JBA,Helijet
JBR,Job Air
JBU,JetBlue Airways
JCB,J C Bamford (Excavators)
JCC,Jetcraft Aviation
JCF,Jet Center Flight Training
JCH,Trading Air Cargo
JCI,Jordan International Air Cargo
JCK,Jackson Air Services
JCM,Secure Air Charter
JCR,Rotterdam Jet Center
JCS,Jetclub
JCT,Jet Charter
JCX,Jet Connection
JDA,JDAviation
JDC,Deere and Company
JDG,Joanas Avialinijos
JDI,Jet Service
JDP,JDP Lux
JEA,Jet Air
JEC,Jett8 Airlines Cargo
JED,Jet East International
JEE,Ambjek Air Services
JEF,Jetflite
JEI,Jet Executive International Charter
JEJ,Jets Ejecutivos
JEK,Jet Link
JEL,Tal Air Charters
JEM,Emerald Airways
JEP,Jets Personales
JES,JS Aviation
JET,Wind Jet
JEV,Lagun Air
JEX,JAL Express
JFC,LTV Jet Fleet Corporation
JFK,Keenair Charter -
JFL,Jetfly Airlines
JFS,Juanda Flying School
JFU,Jet4You
JFY,Foster Yeoman
JGD,Jet G&D Aviation
JGN,Jagson Airlines
JGO,JetsGo
JHM,JHM Cargo Expreso
JHN,Johnson Air
JIA,PSA Airlines
JIB,Jibair
JIC,Jetgo International
JIM,Sark International Airways
JJA,Jeju Air
JJM,Regional Geodata Air
JJP,Jetstar Japan
JKK,Spanair
JKY,Helicopter & Aviation Services
JLA,MIA Airlines
JLH,Jetlink Holland
JLJ,J-Air
JLN,Eurojet Limited
JLX,Jetlink Express
JMB,Jambo Africa Airlines
JMC,JMC Airlines
JMG,JetMagic
JMJ,Johnston Airways
JMM,Joint Military Commission
JMR,Alexandair
JMT,Jomartaxi Aereo
JMX,Air Jamaica Express
JNA,Jin Air
JNH,M & N Aviation
JNR,Jet Norte
JNV,Jetnova de Aviacion Ejecutiva
JNY,Jenney Beechcraft
JOA,Air Swift Aviation
JOB,Aerojobeni
JOL,Atyrau Air Ways
JON,Johnsons Air
JOR,Blue Air
JOS,DHL de Guatemala
JOY,Joy Air
JPA,OSACOM
JPN,Jeppesen UK
JPO,Jetpro
JPQ,Jett Paqueteria
JPR,Aerosmith Aviation
JPU,Jupiter Airlines
JRB,Jc royal.britannica
JRF,First Air Transport
JRI,Jetrider International
JRN,Jet Rent
JSA,Jetstar Asia Airways
JSE,Jets Y Servicios Ejecutivos
JSH,Jetstream Air
JSI,Jet Air Group
JSJ,JS Air
JSM,Jet Stream
JSP,Palmer Aviation
JSR,Jusur airways
JST,Jetstar Airways
JSV,Japan Aircraft Service
JSW,Jigsaw Project
JTA,Japan Transocean Air
JTC,Jet Trans Aviation
JTE,National Jet Express
JTG,Jettime
JTI,Cirrus Middle East
JTL,Jetall Holdings
JTM,Exxavia Limited
JTN,Jettrain Corporation
JTO,Jettor Airlines
JTR,Executive Aviation Services
JTS,Arrendamiento de Aviones Jets
JTT,Jet-2000
JTU,Zhetysu
JTX,Jet Aspen Air Lines
JTY,Jatayu Airlines
JUA,Aero Juarez
JUB,Jubba Airways
JUC,Juba Cargo Services & Aviation Company
JUR,Ju-Air
JUS,USA Jet Airlines
JVK,Jorvik
JWW,JetWind
JWY,Jetways of Iowa
JXA,Jetex Aviation
JXT,Jetstream Executive Travel
JXX,Jetx Airlines
JZA,Air Canada Jazz
JZR,Jazeera Airways
KAA,Asia Aero Survey and Consulting Engineers
KAC,Kuwait Airways
KAD,Air Kirovograd
KAE,Kartika Airlines
KAH,Kent Aviation
KAI,Kaiser Air
KAJ,Karthago Airlines
KAL,Korean Air
KAM,Air Mach
KAO,Kazan Aviation Production Association
KAP,Cape Air
KAR,Kar-Air
KAS,Kingston Air Services
KAT,Kato Airline
KAV,Air Kufra
KAW,Kaz Air West
KBA,Kenn Borek Air
KBR,KoralBlue Airlines
KBV,Kustbevakningen
KBZ,Air KBZ
KCA,Trans-Kiev
KCE,Irving Oil Transport
KCU,Skyline Ulasim Ticaret A.S.
KDA,Kendell Airlines
KDC,K D Air Corporation
KDR,Royal Daisy Airlines
KDZ,Flightworks
KEA,Korea Express Air
KEE,Keystone Air Services
KEK,Arkhabay
KEN,Kenmore Air
KES,Kallat El Saker Air Company
KEY,Key Airlines
KFA,Kelowna Flightcraft Air Charter
KFC,Kremenchuk Flight College
KFK,Aero Charter Krifka
KFR,Kingfisher Airlines
KFS,Kalitta Charters
KFT,Air Kraft Mir
KGA,Kyrgyzstan Airlines
KGB,Kyrgz General Aviation
KGC,Peach Air
KGD,Air Concorde
KGL,Kogalymavia Air Company
KGO,Korongo Airlines
KGT,Knights Airlines
KGZ,Kyrgyz Airlines
KHA,Kitty Hawk Aircargo
KHB,Dalavia
KHC,Kitty Hawk Airways
KHE,Kanfey Ha'emek Aviation
KHH,Alexandria Airlines
KHK,Kharkiv Airlines
KHM,Cambodia Airlines
KHO,Khors Aircompany
KHP,Khoezestan Photros Air Lines
KHR,Khazar
KHX,Knighthawk Express
KHY,Khyber Afghan Airlines
KIA,Kiwi International Air Lines
KIE,Afit
KIL,Kuban Airlines
KIN,Kinloss Flying Training Unit
KIP,Kinnarps
KIS,Contact Air
KIW,Royal New Zealand Air Force
KIZ,Kanaf-Arkia Airlines
KJC,Krasnojarsky Airlines
KKA,Kazavia
KKB,Air South
KKK,Atlasjet
KKS,Salem
KLA,Air Lithuania
KLB,Air Mali International
KLC,KLM Cityhopper
KLD,Air Klaipeda
KLE,Rusaero
KLG,Karlog Air Charter
KLH,KLM Helicopter
KLM,KLM Royal Dutch Airlines
KLO,Flight-Ops International
KLR,Columbus Air Transport
KLS,Kal Star Aviation
KLX,Kelix Air
KLZ,Aerokaluz
KMA,Komiaviatrans State Air Enterprise
KMB,Delta Engineering Aviation
KMC,Kahama Mining Corporation
KMF,Kam Air
KMG,Kosmas Air
KMI,K-Mile Air
KMP,Kampuchea Airlines
KMR,Western Pacific Airlines
KMV,Komiinteravia
KNA,Knight Air
KND,Kan Air
KNE,Nas Air
KNG,King Aviation
KNI,KD Avia
KNM,Komsomolsk-on-Amur Air Enterprise
KNS,Kinshasa Airways
KNX,Knighthawk Air Express
KOA,Koanda Avacion
KOB,Koob-Corp - 96 KFT
KOE,Northland Aviation
KOK,Horizon Air Service
KOL,SOCHI AIR
KOM,Kom Activity
KOP,Servicios Aereos Copters
KOQ,Kostromskie avialinii
KOR,Air Koryo
KOS,Kosova Airlines
KOV,Orlan-2000
KOY,Araiavia
KPA,Kunpeng Airlines
KPH,Kazan Helicopters
KQA,Kenya Airways
KRA,Transcontinental Airlines
KRB,Karibu Airways Company
KRC,New Zealand Air Defence Force
KRE,AeroSucre
KRF,United Kingdom Royal VIP Flights
KRG,Krimaviamontag
KRH,United Kingdom Royal VIP Flight
KRI,Krylo Airlines
KRM,Crimea Universal Avia
KRN,Kaz Agros Avia
KRO,Kroonk Air Agency
KRP,Carpatair
KRT,Air Kokshetau
KRV,Khoriv-Avia
KRY,Russkie Krylya
KSA,K S Avia
KSI,Air Kissari
KSM,Kosmos
KSP,Servicios Aereos Expecializados En Transportes Petroleros
KSS,Raytheon Travel Air
KST,PTL Luftfahrtunternehemen
KSU,Kansas State University
KSY,KSY
KSZ,Sunrise Airways
KTA,Kirov Air Enterprise
KTB,Transaviabaltika
KTC,Kyrgyz Trans Avia
KTK,Katekavia
KTL,P & P Floss Pick Manufacturers
KTN,Aeronavigaciya
KTR,HT Helikoptertransport
KTS,Transair-Gyraintiee
KTV,Kata Transportation
KUH,Kush Air
KUS,National Airlines
KVK,Olimp Air
KVR,Alliance Avia
KVS,Kevis
KWA,Vozdushnaya Academy
KWN,Kwena Air
KWY,Key Air
KYA,Alghanim
KYB,Skybridge Airops
KYC,Av Atlantic
KYM,Krym
KYR,Sky Aeronautical Services
KYV,Kibris T
KZA,Kurzemes Avio
KZE,Euro-Asia Air International
KZH,Zhez Air
KZK,Air Kazakhstan
KZM,Phoebus Apolloa Zambia
KZR,Air Astana
KZS,Kazaviaspas
KZU,Kuzu Airlines Cargo
KZW,Khalifa Airways
LAA,Libyan Arab Airlines
LAB,L.A.B. Flying Service
LAC,Lockeed Aircraft Corporation
LAD,Lebanon Airport Development Corporation
LAF,Latvian Air Force
LAG,Aerovias De Lagos
LAH,L A Helicopter
LAJ,British Mediterranean Airways
LAL,Labrador Airways
LAM,Linhas A
LAN,LAN Airlines
LAO,Lao Airlines
LAP,TAM Mercosur
LAQ,Lebanese Air Transport
LAR,Lawrence Aviation
LAT,Lebanese Air Transport (Charter)
LAU,L
LAV,AlbaStar
LAW,Link Airways of Australia
LAY,Layang-Layang Aerospace
LBC,Albanian Airlines
LBH,Laker Airways (Bahamas)
LBI,Albisa
LBL,Line Blue
LBQ,Quest Diagnostics
LBR,Elbe Air Transport
LBT,Nouvel Air Tunisie
LBW,Albatros Airways
LBY,Belle Air
LCA,Leconte Airlines
LCB,LC Busre
LCC,The Lancair Company
LCD,Lineas Aereas Azteca
LCG,Lignes Aeriennes Congolaises
LCH,Lynch Flying Service
LCM,Lineas Aereas Comerciales
LCN,Lineas Aereas Canedo LAC
LCO,LAN Cargo
LCR,Libyan Arab Air Cargo
LCS,RAF Leuchars
LCT,Compania De Actividades Y Servicios De Aviacion
LCY,London City Airport Jet Centre
LDA,Lauda Air
LDE,LADE - Lineas Aereas Del Estado
LDG,Aerolineas Aereas Ejecutivas De Durango
LDI,Lauda Air Italy
LDL,Aerologic
LDN,Al-Donas Airlines
LDR,Aero Lider
LEA,Unijet
LEC,Linex
LED,Blom Geomatics
LEE,Leeming Flying Training Unit
LEG,The Army Aviation Heritage Foundation
LEJ,FSH Luftfahrtunternehmen
LEL,Leonsa De Aviacion
LEM,Aleem
LEN,Lentini Aviation
LEP,Laughlin Express
LER,Linea Aerea de Servicio Ejecutivo Regional
LET,Aerolineas Ejecutivas
LEU,Lions-Air
LEX,L'Express
LFA,Air Alfa
LFC,Aero Control Air
LFE,Luxflight Executive
LFI,National Airways Corporation
LFL,Executive Air
LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV
LFP,Alfa Aerospace
LFR,Atlantic Airfreight Aviation
LFT,Aerolift Company
LGD,Legend Airlines
LGL,Luxair
LGN,Aerolaguna
LGT,Longtail Aviation
LGU,Servicios Aereos Ejecutivos De La Laguna
LGW,Luftfahrtgesellschaft Walter
LHC,London Helicopter Centres
LHN,Express One International
LHR,Al Ahram Aviation
LHS,Luhansk
LHT,Lufthansa Technik
LIA,Leeward Islands Air Transport
LIB,Ploizeihubschrauberstaffel Hamburg
LID,Alidaunia
LIE,Al-Dawood Air
LIF,Rocky Mountain Holdings
LIJ,Lineas Aereas San Jose
LIL,FlyLal
LIO,LÍO Flugmennt
LIQ,Lid Air
LIR,Minsk Aircraft Overhaul Plant
LIS,Eastern Express
LIV,Air Livonia
LIX,LionXpress
LJA,Air Jamahiriya Company
LJJ,Luchsh Airlines
LJY,L J Aviation
LKA,Lao Capricorn Air
LKD,Lignes Aeriennes Du Tchad
LKE,Lucky Air
LKL,Lakeland Aviation
LKN,Lankair
LKP,American Aviation
LKR,Laker Airways
LKS,Airlink Solutions
LKW,Top Sky International
LKY,Air Solutions
LLA,Servico Leo Lopex
LLB,Lloyd Aereo Boliviano
LLC,FlyLAL Charters
LLL,Lao Air Company
LLM,Yamal Airlines
LLO,Operation Enduring Freedom
LLR,Alliance Air
LLS,Servicios Aereos Estrella
LMA,Aerolima
LMC,Linea Aerea Mexicana de Carga
LME,Lignes Mauritaniennes Air Express
LMG,South African Air Force
LMJ,Masterjet
LMK,Grantex Aviation
LML,Alamia Air
LMM,LCM AIRLINES
LMN,Lineas Aereas Monarca
LMO,Sky Limo Corporation
LMP,Air Plus Argentina
LMR,Lamra
LMS,Lomas Helicopters
LMT,Almaty Aviation
LMU,AlMasria Universal Airlines
LMX,Aerolineas Mexicanas J S
LMY,Air Almaty
LMZ,Air Almaty ZK
LNA,Lnair Air Services
LNC,LAN Dominica
LNE,Aerolane
LNG,Lockheed Martin Aeronautics Company
LNI,Lion Mentari Airlines
LNK,Airlink
LNP,Linea Aerea SAPSA
LNT,Aerolineas Internacionales
LNX,London Executive Aviation
LOC,Locair
LOD,Malmoe Air Taxi
LOF,Trans States Airlines
LOG,Logan Air
LOK,Alok Air
LOO,LSM Airlines
LOP,Linton-on-Ouse Flying Training Unit
LOR,Leo-Air
LOS,Lossiemouth Flying Training Unit
LOT,LOT Polish Airlines
LOU,Air Saint Louis
LOV,London Flight Centre (Stansted)
LPA,Pal Aerolineas
LPC,Alpine Aviation
LPD,UK Royal/HRH Duke of York
LPE,LAN Peru
LPL,Lease-a-Plane International
LPN,Laoag International Airlines
LPR,L
LPV,Air Alps Aviation
LRA,Little Red Air Service
LRB,L R Airlines
LRC,LACSA
LRD,Laredo Air
LRO,Alrosa-Avia
LRR,Lorraine Aviation
LRS,SANSA
LRT,Lincoln Airlines
LRW,Al Rida Airways
LSA,LANSA
LSC,Los Cedros Aviacion
LSE,Linea De Aeroservicios
LSK,Aurela
LSM,Aerobusinessservice
LSP,Spectrum Aviation Incorporated
LSR,Alsair
LSS,Lone Star Airlines
LSU,Laus
LSY,Lindsay Aviation
LTA,Trans Atlantis
LTC,LatCharter
LTD,Southern Airways Express
LTE,LTE International Airways
LTF,Lufttaxi Fluggesellschaft
LTI,Aerotaxis Latinoamericanos
LTL,Benin Littoral Airways
LTO,LTU Austria
LTR,Lufttransport
LTS,Flight Inspections and Systems
LTU,Air Lituanica
LTW,Luchtvaartmaatschappij Twente
LTY,Liberty Airways
LUC,Alninati Aeronautics
LUK,LUKoil-Avia
LUR,Atlantis European Airways
LUT,Luft Carago
LUV,Luxembourg Air Rescue
LUZ,Luzair
LVB,IRS Airlines
LVD,Luftfahrt-Vermietungs-Dienst
LVG,Livingston
LVN,Aliven
LVR,Aviavilsa
LVT,La Valenciana Taxi Aereo
LWD,Leisure Air
LXA,Luxaviation
LXF,Lynx Air International
LXG,Air Luxor GB
LXJ,Bombardier Business Jet Solutions
LXO,Luxor Air
LXP,LAN Express
LXR,Air Luxor
LYC,Lynden Air Cargo
LYD,Lydd Air
LYF,Lithuanian Air Force
LYM,Key Lime Air
LYN,Kyrgyzstan
LYT,Apatas Air
LYW,Libyan Airlines
LYX,Lynx Aviation
LZA,Lanza Air
LZB,Bulgaria Air
LZP,Air Ban
LZR,Air Lazur
LZT,Lanzarote Aerocargo
MAA,MasAir
MAB,Millardair
MAC,Malta Air Charter
MAD,Maple Air Services
MAE,Mali Air
MAF,Mission Aviation Fellowship
MAH,Malév
MAI,Mauritania Airlines International
MAJ,Majestic Airlines
MAK,MAT Macedonian Airlines
MAL,Morningstar Air Express
MAM,Aerodromo De La Mancha
MAN,Mannion Air Charter
MAQ,Mac Aviation
MAR,March Helicopters
MAS,Malaysia Airlines
MAT,Maine Aviation
MAU,Air Mauritius
MAV,Maldivo Airlines
MAW,Mustique Airways
MAX,Max-Aviation
MAZ,Mines Air Services Zambia
MBA,Avag Air
MBB,Air Manas
MBC,Airjet Exploracao Aerea De Carga
MBE,Martin-Baker
MBI,Mountain Bird
MBL,First City Air
MBN,Zambian Airways
MBO,Mobil Oil
MBR,Brazilian Navy Aviation
MBS,Mbach Air
MBV,Aeriantur-M
MCA,MCA Airlines
MCB,Air Mercia
